Código	Empresa	Status	Editar	Excluir
216	vago216	Inativa		
217	vago217	Inativa		
218	vago218	Inativa		
219	vago219	Inativa		
220	vago220	Inativa		
221	vago221	Inativa		
222	vago222	Inativa		
223	vago223	Inativa		
224	vago224	Inativa		
225	vago225	Inativa		
226	vago226	Inativa		
227	vago227	Inativa		
228	vago228	Inativa		
229	vago229	Inativa		
230	vago230	Inativa		
231	vago231	Inativa		
233	vago233	Inativa		
234	vago234	Inativa		
235	vago235	Inativa		
236	vago236	Inativa		
237	vago237	Inativa		
238	vago238	Inativa		
239	vago239	Inativa		
240	vago240	Inativa		
241	vago241	Inativa		
242	vago242	Inativa		
244	vago244	Inativa		
245	vago245	Inativa		
246	vago246	Inativa		
247	vago247	Inativa		
248	vago248	Inativa		
249	vago249	Inativa		
250	vago250	Inativa		
251	vago251	Inativa		
252	vago252	Inativa		
253	vago253	Inativa		
254	vago254	Inativa		
255	vago255	Inativa		
256	vago256	Inativa		
257	vago257	Inativa		
258	vago258	Inativa		
259	vago259	Inativa		
260	vago260	Inativa		
261	vago261	Inativa		
262	vago262	Inativa		
263	vago263	Inativa		
264	vago264	Inativa		
265	vago265	Inativa		
266	vago266	Inativa		
267	vago267	Inativa		
268	vago268	Inativa		
269	vago269	Inativa		
270	vago270	Inativa		
271	vago271	Inativa		
272	vago272	Inativa		
273	vago273	Inativa		
274	vago274	Inativa		
275	vago275	Inativa		
276	vago276	Inativa		
277	vago277	Inativa		
278	vago278	Inativa		
279	vago279	Inativa		
280	vago280	Inativa		
281	vago281	Inativa		
283	vago283	Inativa		
284	vago284	Inativa		
285	vago285	Inativa		
287	vago287	Inativa		
288	vago288	Inativa		
289	vago289	Inativa		
290	vago290	Inativa		
291	vago291	Inativa		
292	vago292	Inativa		
293	vago293	Inativa		
294	vago294	Inativa		
295	vago295	Inativa		
296	vago296	Inativa		
297	vago297	Inativa		
298	vago298	Inativa		
301	vago301	Inativa		
302	vago302	Inativa		
303	vago303	Inativa		
304	vago304	Inativa		
305	vago305	Inativa		
306	vago306	Inativa		
307	vago307	Inativa		
308	vago308	Inativa		
309	vago309	Inativa		
310	vago310	Inativa		
311	vago311	Inativa		
312	vago312	Inativa		
313	vago313	Inativa		
314	vago314	Inativa		
315	vago315	Inativa		
316	vago316	Inativa		
317	vago317	Inativa		
318	vago318	Inativa		
319	vago319	Inativa		
320	vago320	Inativa		
321	vago321	Inativa		
322	vago322	Inativa		
323	vago323	Inativa		
324	vago324	Inativa		
325	vago325	Inativa		
326	vago326	Inativa		
327	vago327	Inativa		
328	vago328	Inativa		
329	vago329	Inativa		
330	vago330	Inativa		
331	vago331	Inativa		
332	vago332	Inativa		
333	vago333	Inativa		
334	vago334	Inativa		
335	vago335	Inativa		
336	vago336	Inativa		
337	vago337	Inativa		
338	vago338	Inativa		
340	vago340	Inativa		
341	vago341	Inativa		
342	vago342	Inativa		
343	vago343	Inativa		
344	vago344	Inativa		
345	vago345	Inativa		
346	vago346	Inativa		
348	vago348	Inativa		
